0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:44:04 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 10382
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:44:04 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:44:04 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:44:04 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:44:04 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:06:17 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 9997
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:06:17 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:06:17 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:06:17 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:06:17 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:10:29 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 500 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:26 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 10095
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:26 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:26 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:26 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:26 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:31 +0900] "GET /jspStudy/board/boardMain.jsp?pageNum=2viewTime=20 HTTP/1.1" 200 7434
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:31 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:31 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:31 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:31 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:11:42 +0900] "GET /jspStudy//boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:09 +0900] "GET /jspStudy//boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:11 +0900] "GET /jspStudy//boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:15 +0900] "GET /jspStudy//boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:22 +0900] "GET /jspStudy/board/boardMain.jsp?pageNum=2viewTime=20 HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:23 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:23 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:23 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:23 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:26 +0900] "GET /jspStudy/boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:12:55 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:01 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:01 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:15 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:16 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:17 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:30 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:32 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:33 +0900] "GET /jspStudy/boardViewTimeServlet.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:36 +0900] "GET /jspStudy/boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:40 +0900] "GET /jspStudy/board/boardMain.jsp?pageNum=2viewTime=20 HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:40 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:40 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:40 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:40 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:42 +0900] "GET /jspStudy/boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:42 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=10 HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:42 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:42 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:42 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:42 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:46 +0900] "GET /jspStudy/boardViewTimeServlet.do?viewTime=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:47 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 10094
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:47 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:47 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:47 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:47 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:53 +0900] "GET /jspStudy/boardViewTimeServlet.do?viewTime=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:53 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=10 HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:53 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:53 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:53 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:13:53 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:14:02 +0900] "GET /jspStudy/boardViewTimeServlet.do?viewTime=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:18:14:02 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 10094
